header,class,mechanism,group,database
Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|698174209|gb|KM087859.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR,megares
1172|AF317511.1|AF317511|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
959|M97297.1|TRNVAN|Glycopeptides|VanA-type_accessory_protein|VANZA,Glycopeptides,VanA-type accessory protein,VANZA,megares
Gly|VanY-A|M97297|9052-9963|912|Glycopeptides|VanA-type_accessory_protein|VANYA,Glycopeptides,VanA-type accessory protein,VANYA,megares
Mdr|AY769962.1|gene1|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEAI,Multi-drug resistance,Multi-drug efflux pumps,ADEAI,megares
617|HQ875016.1|HQ875016|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML,megares
Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
AGly|NC_004973.1.1449625|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,megares
gi|698174187|gb|KM087848.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA,megares
1286|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
122|AJ579365.1|AJ579365|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA,MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA,megares
Flq|QnrB46|JQ349154|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|OXA-17_1_AF060206|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|GQ891757.1|gene9|betalactams|Class_A_betalactamases|PER,betalactams,Class A betalactamases,PER,megares
Sul|sul2_15_FJ968160|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
Bla|SME-1|Z28968|128-1012|885|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME,megares
CARD|phgb|AF030344|0-1260|ARO:3000181|tetV|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETV,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETV,megares
Bla|SHV-56|AY352599|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Sul|sul1_14_AJ517791|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
Bla|CTX-M-136|KC351754|158-1033|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Flq|CP001918.1|gene3562|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
